site_id,av_SLPE_gradient,av_acw,Sstrpwr_2yr,Sstrpwr_5perc,av_SLPE,av_ACW,av_2yr,av_5perc,slope_compr,ACW_compr,strpwr2yr_compr,strpwr5perc_compr
BKY01,0.001299685,132.9727593,144.0260045,29.29342464,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-24.05010401813889,22.48938296919821,8.545351329515842,5.626713042274231
BKY02,0.00147014,187.8778182,114.2194095,23.01759963,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-14.08919847595895,73.06580795994054,-13.918420663906295,-17.002760144333628
BKY03,7.81123e-4,170.1995818,66.99116457,13.50012062,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-54.35339286131694,56.78129765859177,-49.51203763884137,-51.32104271558365
BKY04,0.001146436,94.92498378,176.2893313,35.86113774,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-33.00553984245342,-12.55876201424852,32.86064185446394,29.30868111132704
TIL02,0.002443868,91.20221223,141.2852994,33.83411118,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,42.81269722540381,-15.988035742907517,6.479816018702618,21.999595355275684
TIL03,8.28761e-4,63.03462687,67.86312784,16.45498422,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-51.569563591313894,-41.9349301943835,-48.85488159388156,-40.6663468788233
COW01,1.91668e-4,66.09657511,16.01384496,2.349770215,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-88.79946705313105,-39.11438144007015,-87.93114873002258,-91.52715985702217
COW02,0.003018925,64.3601456,244.7170455,35.14553314,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,76.41739323531475,-40.71391340713679,84.43126137071042,26.728342258330052
MAFA_HappyValley,0.001023863,205.298773,82.06939142,17.16122181,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-40.16835744839998,89.11332036337978,-38.14831595162766,-38.119783744763005
MAFA_CanyonvillePk,0.001911913,87.41126233,161.455739,31.92696191,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,11.726759542787683,-19.480112740952812,21.681289255799722,15.122765105937075
MAFA_DaysChute,3.8084e-4,93.26595507,27.195806,5.620466574,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-77.74479324933965,-14.086995346292227,-79.5038519105808,-79.73362905595759
MAFA_GrassyBeach,0.001269185,104.54184,77.82476495,16.4745931,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-25.832437296930884,-3.700084562623325,-41.347283200967084,-40.595640856352574
MAFA_Milo,0.002946628,68.93130367,225.389407,53.97483168,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,72.19256211869757,-36.50313870112547,69.86496607816568,94.62333706054562
MAFA_ShafferRanch,0.003216139,74.19226333,223.7485295,54.37329857,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,87.94201865314041,-31.656945345647415,68.62831700673915,96.0601355354295
MAFA_OldBridge,0.004957718,78.29432,305.7537657,76.43844143,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,189.71494354970665,-27.87828877675283,130.4316504053889,175.62299108245526
MAFA_SaltCr,0.001228426,48.45557,98.49275361,26.45233954,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-28.214277366120477,-55.364595711440636,-25.77083158611896,-4.617718405205072
MAFA_Tiller3,0.002648099,158.16196,63.18909094,17.14468717,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,54.74737617166501,45.69270421689299,-52.377474470070254,-38.17940462200767
MAFA_BoomerHill,0.001146436,94.92498378,176.2893313,35.86113774,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-33.00553984245342,-12.55876201424852,32.86064185446394,29.30868111132704
MAFA_CoffeeCr1,8.28761e-4,63.03462687,67.86312784,16.45498422,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-51.569563591313894,-41.9349301943835,-48.85488159388156,-40.6663468788233
MAFA_KBarRanch,7.81123e-4,170.1995818,66.99116457,13.50012062,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-54.35339286131694,56.78129765859177,-49.51203763884137,-51.32104271558365
MAFA_WiegleRd,0.00147014,187.8778182,114.2194095,23.01759963,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-14.08919847595895,73.06580795994054,-13.918420663906295,-17.002760144333628
ZERO_CowCr,0.004065378,69.28034333,346.8498868,50.64334028,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,137.56913115635442,-36.18161681340769,161.4037857400175,82.61059049932263
ZERO_UmpConf,3.03261e-4,122.3085133,43.07298367,9.357708912,0.0017112398260869565,108.55860076391305,132.68740779869566,27.732974546565217,-82.27828942754961,12.665890403892464,-67.53800008893083,-66.25781907960092
